Season,Gameday,KID,GradeAvg
2006,1,30,3.36363636364
2006,1,8,4.09090909091
2006,1,58,3.63636363636
2006,1,4,3.31818181818
2006,1,24,3.54545454545
2006,1,29,3.90909090909
2006,2,81,3.27272727273
2006,2,15,3.36363636364
2006,2,4,3.36363636364
2006,2,9,3.18181818182
2006,2,29,2.5
2006,2,58,4.68181818182
2006,2,17,3.45454545455
2006,2,30,3.36363636364
2006,2,32,3.59090909091
2006,2,24,4.31818181818
2006,2,110,3.72727272727
2006,2,2,3.63636363636
2006,2,78,3.68181818182
2006,2,12,4.13636363636
2006,2,10,3.86363636364
2006,2,11,3.04545454545
2006,2,8,3.77272727273
2006,2,14,3.45454545455
2006,3,2,2.59090909091
2006,3,4,4.09090909091
2006,3,14,3.86363636364
2006,3,81,3.27272727273
2006,3,9,3.45454545455
2006,3,24,3.27272727273
2006,3,11,3.68181818182
2006,3,17,3.40909090909
2006,3,15,3.40909090909
2006,3,10,3.77272727273
2006,3,58,4.90909090909
2006,3,110,2.86363636364
2006,3,8,4.0
2006,3,78,3.72727272727
2006,3,12,3.54545454545
2006,3,29,3.18181818182
2006,3,30,3.77272727273
2006,3,32,3.72727272727
2006,4,24,4.22727272727
2006,4,58,3.31818181818
2006,4,4,4.18181818182
2006,4,11,3.22727272727
2006,4,17,3.59090909091
2006,4,12,4.22727272727
2006,4,81,3.27272727273
2006,4,8,3.22727272727
2006,4,10,3.0
2006,4,14,4.09090909091
2006,4,110,2.77272727273
2006,4,15,4.59090909091
2006,4,78,3.27272727273
2006,4,30,4.36363636364
2006,4,29,3.0
2006,4,2,4.36363636364
2006,4,32,3.0
2006,4,9,3.72727272727
2006,5,15,3.36363636364
2006,5,17,3.77272727273
2006,5,14,3.22727272727
2006,5,110,3.86363636364
2006,5,12,4.13636363636
2006,5,4,4.0
2006,5,2,3.68181818182
2006,5,24,4.18181818182
2006,5,11,3.36363636364
2006,5,32,3.54545454545
2006,5,30,3.40909090909
2006,5,29,3.63636363636
2006,5,58,3.95454545455
2006,5,9,3.63636363636
2006,5,8,3.95454545455
2006,5,10,3.81818181818
2006,5,78,4.0
2006,5,81,3.13636363636
2006,6,17,3.81818181818
2006,6,58,3.59090909091
2006,6,4,2.5
2006,6,15,4.81818181818
2006,6,81,3.68181818182
2006,6,30,3.54545454545
2006,6,10,3.63636363636
2006,6,78,3.86363636364
2006,6,32,3.5
2006,6,12,3.86363636364
2006,6,24,3.13636363636
2006,6,14,4.13636363636
2006,6,110,3.90909090909
2006,6,8,3.54545454545
2006,6,9,2.81818181818
2006,6,2,4.54545454545
2006,6,29,3.72727272727
2006,6,11,3.36363636364
2006,7,30,3.95454545455
2006,7,110,3.13636363636
2006,7,14,2.63636363636
2006,7,29,4.40909090909
2006,7,12,4.31818181818
2006,7,2,3.40909090909
2006,7,11,2.59090909091
2006,7,9,4.5
2006,7,15,3.18181818182
2006,7,24,4.18181818182
2006,7,58,4.0
2006,7,32,3.90909090909
2006,7,8,4.95454545455
2006,7,4,2.45454545455
2006,7,81,3.27272727273
2006,7,10,3.45454545455
2006,7,78,3.95454545455
2006,7,17,3.31818181818
2006,8,17,4.18181818182
2006,8,8,3.04545454545
2006,8,4,2.63636363636
2006,8,14,4.27272727273
2006,8,2,3.27272727273
2006,8,58,3.81818181818
2006,8,29,3.40909090909
2006,8,15,3.95454545455
2006,8,10,3.40909090909
2006,8,30,4.09090909091
2006,8,24,3.59090909091
2006,8,11,3.54545454545
2006,8,110,3.63636363636
2006,8,78,3.40909090909
2006,8,9,3.86363636364
2006,8,12,3.72727272727
2006,8,32,3.68181818182
2006,8,81,3.54545454545
2006,9,30,4.95454545455
2006,9,4,2.0
2006,9,14,3.09090909091
2006,9,32,4.27272727273
2006,9,12,3.90909090909
2006,9,58,3.86363636364
2006,9,81,3.45454545455
2006,9,17,3.31818181818
2006,9,15,4.59090909091
2006,9,9,3.04545454545
2006,9,8,4.40909090909
2006,9,24,3.86363636364
2006,9,78,3.36363636364
2006,9,29,4.36363636364
2006,9,11,2.72727272727
2006,9,2,4.13636363636
2006,9,10,2.68181818182
2006,9,110,4.22727272727
2006,10,58,4.86363636364
2006,10,8,3.59090909091
2006,10,4,3.63636363636
2006,10,78,3.36363636364
2006,10,9,3.68181818182
2006,10,30,3.5
2006,10,29,3.13636363636
2006,10,81,3.68181818182
2006,10,17,3.68181818182
2006,10,10,3.5
2006,10,24,3.59090909091
2006,10,12,4.31818181818
2006,10,110,4.45454545455
2006,10,11,2.72727272727
2006,10,2,3.68181818182
2006,10,14,3.81818181818
2006,10,32,4.0
2006,10,15,4.31818181818
2006,11,17,3.86363636364
2006,11,110,3.68181818182
2006,11,81,3.72727272727
2006,11,4,3.18181818182
2006,11,11,3.31818181818
2006,11,12,3.72727272727
2006,11,30,4.27272727273
2006,11,24,3.68181818182
2006,11,14,4.72727272727
2006,11,58,3.18181818182
2006,11,15,4.95454545455
2006,11,2,3.04545454545
2006,11,10,3.72727272727
2006,11,29,3.45454545455
2006,11,8,4.40909090909
2006,11,9,3.18181818182
2006,11,78,4.22727272727
2006,11,32,3.22727272727
2006,12,4,4.04545454545
2006,12,17,3.09090909091
2006,12,12,4.0
2006,12,15,3.90909090909
2006,12,2,2.40909090909
2006,12,30,5.0
2006,12,9,3.59090909091
2006,12,14,3.09090909091
2006,12,29,3.5
2006,12,8,3.27272727273
2006,12,32,4.59090909091
2006,12,10,2.72727272727
2006,12,24,3.63636363636
2006,12,78,3.59090909091
2006,12,58,3.5
2006,12,11,3.22727272727
2006,12,110,4.18181818182
2006,12,81,3.40909090909
2006,13,8,3.27272727273
2006,13,32,4.09090909091
2006,13,14,3.18181818182
2006,13,11,3.63636363636
2006,13,17,4.09090909091
2006,13,29,3.22727272727
2006,13,81,3.36363636364
2006,13,9,4.27272727273
2006,13,30,4.22727272727
2006,13,12,4.27272727273
2006,13,110,3.09090909091
2006,13,4,3.77272727273
2006,13,78,3.81818181818
2006,13,2,3.36363636364
2006,13,15,4.63636363636
2006,13,58,3.72727272727
2006,13,10,3.72727272727
2006,13,24,4.09090909091
2006,14,2,3.18181818182
2006,14,8,3.81818181818
2006,14,4,2.59090909091
2006,14,10,4.04545454545
2006,14,12,4.04545454545
2006,14,14,3.81818181818
2006,14,29,3.31818181818
2006,14,110,4.04545454545
2006,14,58,3.86363636364
2006,14,30,4.81818181818
