,Season,Gameday,Link,Score,Minute,Player
484,2004,11,677762,-2,63,23506
485,2004,11,677763,1,40,27336
486,2004,11,677764,1,17,26128
487,2004,11,677764,2,65,1757
488,2004,11,677764,3,88,24786
489,2004,11,677765,1,49,22833
490,2004,11,677765,2,84,26912
491,2004,11,677766,-1,15,26148
492,2004,11,677766,-2,17,26119
493,2004,11,677766,-1,45,26228
494,2004,11,677766,0,45,26228
495,2004,11,677766,1,57,26228
496,2004,11,677766,2,62,26228
497,2004,11,677766,1,75,6000
498,2004,11,677768,1,1,22645
499,2004,11,677768,2,2,9110
500,2004,11,677768,3,25,26563
501,2004,11,677768,2,30,294
502,2004,11,677768,1,33,24364
503,2004,11,677769,-1,22,1833
504,2004,11,677769,0,74,26794
505,2004,11,677761,-1,79,9122
506,2004,11,677761,0,80,22888
507,2004,11,677761,1,90,22888
508,2004,11,677767,-1,56,144
509,2004,11,677767,-2,59,144
510,2004,12,677770,-1,13,29746
511,2004,12,677770,0,59,22707
512,2004,12,677771,1,3,24314
513,2004,12,677771,2,80,25031
514,2004,12,677771,3,90,29270
515,2004,12,677772,-1,26,26536
516,2004,12,677772,0,62,24378
517,2004,12,677773,1,8,9122
518,2004,12,677774,-1,25,25338
519,2004,12,677774,0,48,23504
520,2004,12,677774,1,53,22814
521,2004,12,677774,2,88,23504
522,2004,12,677774,3,89,9079
523,2004,12,677775,-1,81,26356
524,2004,12,677775,0,90,29031
525,2004,12,677776,1,47,71
526,2004,12,677776,0,79,27823
527,2004,12,677776,-1,81,26563
528,2004,12,677777,1,7,263
529,2004,12,677777,2,38,25173
530,2004,12,677777,3,56,27472
531,2004,12,677777,4,80,111
532,2004,13,677779,1,71,23141
533,2004,13,677780,1,15,25338
534,2004,13,677780,0,16,9122
535,2004,13,677780,-1,20,23091
536,2004,13,677780,0,38,1313
537,2004,13,677780,-1,86,9122
538,2004,13,677782,1,34,26128
539,2004,13,677782,2,49,24058
540,2004,13,677783,1,19,9039
541,2004,13,677783,2,72,29746
542,2004,13,677783,1,90,29757
543,2004,13,677784,1,42,1185
544,2004,13,677784,2,69,26228
545,2004,13,677784,3,76,26228
546,2004,13,677786,-1,42,26483
547,2004,13,677786,0,50,22057
548,2004,13,677786,-1,71,28615
549,2004,13,677786,-2,83,512
550,2004,13,677787,1,19,23709
